county_name,state_name,country_name
Callaway County,Missouri,USA
Cape Girardeau County,Missouri,USA
Chariton County,Missouri,USA
Cole County,Missouri,USA
Dade County,Missouri,USA
Dent County,Missouri,USA
Dunklin County,Missouri,USA
Gasconade County,Missouri,USA
Gentry County,Missouri,USA
Hickory County,Missouri,USA
Howell County,Missouri,USA
Laclede County,Missouri,USA
McDonald County,Missouri,USA
Maries County,Missouri,USA
Moniteau County,Missouri,USA
New Madrid County,Missouri,USA
Nodaway County,Missouri,USA
Ozark County,Missouri,USA
Pettis County,Missouri,USA
Phelps County,Missouri,USA
Platte County,Missouri,USA
Ralls County,Missouri,USA
Ray County,Missouri,USA
Reynolds County,Missouri,USA
St. Charles County,Missouri,USA
St. Francois County,Missouri,USA
Scotland County,Missouri,USA
Shannon County,Missouri,USA
Taney County,Missouri,USA
Texas County,Missouri,USA
Vernon County,Missouri,USA
Beaverhead County,Montana,USA
Big Horn County,Montana,USA
Broadwater County,Montana,USA
Carbon County,Montana,USA
Cascade County,Montana,USA
Chouteau County,Montana,USA
Dawson County,Montana,USA
Deer Lodge County,Montana,USA
Fallon County,Montana,USA
Fergus County,Montana,USA
Flathead County,Montana,USA
Glacier County,Montana,USA
Granite County,Montana,USA
Hill County,Montana,USA
Judith Basin County,Montana,USA
Lewis and Clark County,Montana,USA
Mineral County,Montana,USA
Missoula County,Montana,USA
Musselshell County,Montana,USA
Pondera County,Montana,USA
Ravalli County,Montana,USA
Roosevelt County,Montana,USA
Rosebud County,Montana,USA
Sanders County,Montana,USA
Silver Bow County,Montana,USA
Stillwater County,Montana,USA
Sweet Grass County,Montana,USA
Toole County,Montana,USA
Yellowstone County,Montana,USA
Antelope County,Nebraska,USA
Box Butte County,Nebraska,USA
Buffalo County,Nebraska,USA
Burt County,Nebraska,USA
Cherry County,Nebraska,USA
Colfax County,Nebraska,USA
Cuming County,Nebraska,USA
Dawes County,Nebraska,USA
Deuel County,Nebraska,USA
Dixon County,Nebraska,USA
Frontier County,Nebraska,USA
Furnas County,Nebraska,USA
Garden County,Nebraska,USA
Gosper County,Nebraska,USA
Harlan County,Nebraska,USA
Hitchcock County,Nebraska,USA
Holt County,Nebraska,USA
Kearney County,Nebraska,USA
Keith County,Nebraska,USA
Kimball County,Nebraska,USA
